,by,descendants,id,kids,score,time,title,type,url,text
77,spicywasabi,3.0,41469088,"[41471482, 41471203]",11,1725651526,IBM Pushing Apache2 License onto all qiskit repositories on GitHub,story,,"Noticed this the other day, several users who appear to work for IBM have been pushing the Apache2 license onto users who have used a specific library. It appears automated and some of these repos haven&#x27;t been worked on in years. Not sure what the end goal is for IBM to push this, but its very strange to see. It appears to be automated in some way because empty repos are even getting hit: https:&#x2F;&#x2F;github.com&#x2F;B00TK1D&#x2F;qiskit-playground&#x2F;issues&#x2F;1. You can see the full list here https:&#x2F;&#x2F;tinyurl.com&#x2F;3ba4b6j4 where many repos are happily applying Apache2. Since Apache2 is pretty permissive doesn&#x27;t this mean IBM can utilize these libraries as they see fit internally?"
78,mawise,1.0,41467400,[41467474],7,1725639029,PikaPods – Instant Open Source App Hosting,story,https://www.pikapods.com/,
79,saikatsg,0.0,41468870,,3,1725649826,Apache SkyWalking – Application Performance Monitor tool for Distributed Systems,story,https://skywalking.apache.org/,
80,ibobev,20.0,41432625,"[41458790, 41450973, 41455833, 41457166, 41458327, 41457776, 41458968, 41458554]",83,1725352232,Software Rasterizing Hair,story,https://www.sctheblog.com/blog/hair-software-rasterize/,
81,Pulcinella,188.0,41448022,"[41448957, 41448732, 41455700, 41451072, 41448485, 41451837, 41448617, 41449013, 41470235, 41448459, 41458564, 41448506, 41471585, 41448870, 41449012, 41451618, 41453022, 41455381, 41454422, 41452564, 41448801, 41449627, 41451608, 41448587, 41448639, 41451236, 41451977, 41449081, 41448826, 41448593, 41448497, 41449095, 41451133, 41449824, 41449926, 41464240, 41448303, 41450796, 41452614, 41452244, 41454640, 41454407, 41448574, 41469997, 41454900, 41448733, 41449793, 41448562, 41452154, 41448064]",573,1725469334,Dynamicland 2024,story,https://dynamicland.org/,
82,meetpateltech,98.0,41457331,"[41459687, 41457344, 41457818, 41458238, 41460761, 41458136, 41462679, 41460102, 41458372, 41458858, 41458809, 41463405, 41459834, 41461998, 41457810, 41457453, 41461916, 41460019, 41457663, 41458263, 41458438, 41458272, 41458611]",301,1725548749,AlphaProteo generates novel proteins for biology and health research,story,https://deepmind.google/discover/blog/alphaproteo-generates-novel-proteins-for-biology-and-health-research/,
83,LAGGOUNEWalid,5.0,41464913,"[41468423, 41468040]",13,1725620055,"Show HN: High-performance Location tracking server built with PHP, Swoole",story,https://github.com/LAGGOUNE-Walid/geopulse,
84,rntn,36.0,41470164,"[41470439, 41470390, 41470350, 41470320, 41470343, 41470810, 41470412]",50,1725661563,Dell and Palantir to join S&P 500; shares of both jump,story,https://www.cnbc.com/2024/09/06/dell-and-palantir-to-join-sp-500-shares-of-both-jump.html,
85,yarapavan,26.0,41457522,"[41461606, 41459857, 41461167, 41460425, 41460546, 41462568, 41460057, 41463939, 41462306, 41460253, 41462609]",113,1725550102,Libations: Tailscale on the Rocks,story,https://jnsgr.uk/2024/08/tailscale-on-the-rocks,
86,bpierre,18.0,41433579,"[41467404, 41434317, 41463100, 41462777, 41464008, 41465342, 41466012, 41466009]",99,1725361420,The origins of the steam engine (2023),story,https://blog.rootsofprogress.org/steam-engine-origins,
87,bookofjoe,0.0,41468491,,3,1725646676,Digital twins: secure design and development,story,https://www.ncsc.gov.uk/blog-post/digital-twins-secure-design-development,
88,crbelaus,113.0,41453237,"[41454272, 41456737, 41456567, 41455185, 41454228, 41455108, 41467340, 41457503, 41453822, 41455141, 41458296, 41458873, 41460463, 41456644, 41455164, 41454470, 41458318, 41454337, 41459127]",269,1725507509,Yi-Coder: A Small but Mighty LLM for Code,story,https://01-ai.github.io/blog.html?post=en/2024-09-05-A-Small-but-Mighty-LLM-for-Code.md,
89,eh_why_not,6.0,41470112,"[41470402, 41470483, 41470595, 41470280, 41470242]",22,1725661002,PwC tells UK staff it will monitor office attendance using location data,story,https://www.ft.com/content/11ccedba-f120-4dd2-a98f-19e8b59d7764,
90,samclemens,4.0,41453829,"[41469608, 41469278, 41468744]",12,1725514528,The Haunted Wood: A History of Childhood Reading,story,https://literaryreview.co.uk/oh-the-places-youll-go,
91,_Microft,150.0,41459865,"[41464952, 41466922, 41464999, 41464748, 41460305, 41459895, 41460095, 41460159, 41464223, 41460481, 41467114, 41460564, 41460737, 41464025, 41460818, 41464582, 41466173, 41462343, 41465283, 41461045, 41468405, 41460196, 41465218, 41462238, 41462743, 41462557, 41460943, 41463447, 41461757, 41467341, 41460820, 41460631, 41460230, 41463927, 41460839, 41461160, 41461042, 41463363, 41467616, 41462099]",348,1725565702,Common food dye found to make skin and muscle temporarily transparent,story,https://www.theguardian.com/science/article/2024/sep/05/common-food-dye-found-to-make-skin-and-muscle-temporarily-transparent,
92,hatf0,2.0,41468455,"[41468456, 41468711]",18,1725646379,Making the Easy Things Easy with WireGuard,story,https://www.devzero.io/blog/making-the-easy-things-easy-with-wireguard,
93,dr_,10.0,41470064,"[41471604, 41471571, 41471430, 41472015, 41470327, 41470337, 41470654, 41471476, 41470639]",14,1725660466,Move over BMI .Welcome BRI,story,https://www.nytimes.com/2024/09/06/health/body-roundness-index-bmi.html,
94,tosh,68.0,41458240,"[41459288, 41460115, 41459357, 41458741, 41459108, 41459291, 41461955, 41460914, 41459508, 41459516, 41460811, 41463243, 41459408, 41459213, 41460673, 41460078, 41461122, 41459060]",167,1725554091,Serverless-registry: A Docker registry backed by Workers and R2,story,https://github.com/cloudflare/serverless-registry,
95,tosh,0.0,41466689,,4,1725633814,Kamal-skiff: Deploy static sites using Nginx,story,https://github.com/basecamp/kamal-skiff,
96,arch1e,28.0,41458141,"[41459338, 41463346, 41460192, 41461125, 41460337, 41471766, 41459580, 41466789, 41459434, 41466794]",150,1725553572,Show HN: We built a FOSS documentation CMS with a pretty GUI,story,https://kalmia.difuse.io/doc/,"Kalmia started as a small hobby project about two months ago, but it quickly evolved when we needed a better solution to manage our office&#x27;s documentation. It has now become our go-to tool for both internal and user-facing docs.<p>Recently, we decided to open source it, as we believe others might benefit from a lightweight, customizable documentation system like this. We&#x27;re excited to see how the community can take it further, contribute, and adapt it to their own needs!"
97,microflash,3.0,41457156,"[41465248, 41468521]",43,1725547722,Stop Using Serial in Postgres,story,https://www.naiyerasif.com/post/2024/09/04/stop-using-serial-in-postgres/,
98,tcarambat1010,73.0,41457633,"[41459226, 41458463, 41458374, 41459470, 41458386, 41466050, 41458212, 41457970, 41461974, 41464645, 41460062, 41458843, 41461466, 41458791, 41458633, 41459153, 41458506, 41457902, 41459033, 41463469, 41470020, 41457974, 41458731, 41457824, 41464846]",345,1725550845,"Show HN: AnythingLLM – Open-Source, All-in-One Desktop AI Assistant",story,https://github.com/Mintplex-Labs/anything-llm,"Hey HN!<p>This is Tim from AnythingLLM (<a href=""https:&#x2F;&#x2F;github.com&#x2F;Mintplex-Labs&#x2F;anything-llm"">https:&#x2F;&#x2F;github.com&#x2F;Mintplex-Labs&#x2F;anything-llm</a>). AnythingLLM is an open-source desktop assistant that brings together RAG (Retrieval-Augmented Generation), agents, embeddings, vector databases, and more—all in one seamless package.<p>We built AnythingLLM over the last year iterating and iterating from user feedback. Our primary mission is to enable people with a layperson understanding of AI to be able to use AI with little to no setup for either themselves, their jobs, or just to try out using AI as an assistant but with *privacy by default*.<p>From these iterations &amp; feedback, we have a couple of key learnings I wanted to share:<p>- &quot;Chat with your docs&quot; solutions are a dime-a-dozen<p>- Agent frameworks require knowing how to code or are too isolated from other tools<p>- Users do not care about benchmarks, only outputs. The magic box needs to be magic to them.<p>- Asking Consumers to start a docker container or open a terminal is a non-starter for most.<p>- Privacy by default is non-negotiable. Either by personal preference or legal constraints<p>- Everything needs to be in one place<p>From these ideas, we landed on the current state of AnythingLLM:<p>- Everything in AnythingLLM is private by default, but fully customizable for advanced users.<p>- Built-in LLM provider, but can swap at any time to the hundreds of other local or cloud LLM providers &amp; models.<p>- Built-in Vector Database, most users don&#x27;t even know that it is there.<p>- Built-in Embedding model, but of course can change if the user wants to.<p>- Scrape websites, import Github&#x2F;GitLab repos, YouTube Transcripts, Confluence spaces - all of this is already built in for the user.<p>- An entire baked-in agent framework that works seamlessly within the app. We even pre-built a handful of agent skills for customers. Custom plugins are in the next update and will be able to be built with code, or a no-code builder.<p>- All of this just works out of the box in a single installable app that can run on any consumer-grade laptop. Everything a user does, chats, or configures is stored on the user&#x27;s device. Available for Mac, Windows, and Linux<p>We have been actively maintaining and working on AnythingLLM via our open-source repo for a while now and welcome contributors as we hopefully launch a Community Hub soon to really proliferate users&#x27; abilities to add more niche agent skills, data connectors, and more.<p>*But there is even more*<p>We view the desktop app as a hyper-accessible single-player version of AnythingLLM. We publish a Docker image too (<a href=""https:&#x2F;&#x2F;hub.docker.com&#x2F;r&#x2F;mintplexlabs&#x2F;anythingllm"" rel=""nofollow"">https:&#x2F;&#x2F;hub.docker.com&#x2F;r&#x2F;mintplexlabs&#x2F;anythingllm</a>) that supports multi-user management with permissioning so that you can easily bring AnythingLLM into an organization with all of the same features with minimal headache or lift.<p>The Docker image is for those more adept with a CLI, but being able to comfortably go from a single-user to a multi-user version of the same familiar app was very important for us.<p>AnythingLLM aims to be more than a UI for LLMs, we are building a comprehensive tool to leverage LLMs and all that they can do while maintaining user privacy and not needing to be an expert on AI to do it.<p><a href=""https:&#x2F;&#x2F;anythingllm.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;anythingllm.com&#x2F;</a>"
99,pjmlp,105.0,41458508,"[41464048, 41459412, 41467212, 41461471, 41460279, 41462253, 41459556, 41466395, 41460368]",193,1725555760,Deploying Rust in existing firmware codebases,story,https://security.googleblog.com/2024/09/deploying-rust-in-existing-firmware.html,
